model_id,stable_macro_f1,all_class_macro_f1,evaluated_accuracy,end_to_end_scored_accuracy,bug_recall,security_recall,total_success_cost_usd,avg_cost_per_ok_call_usd,cost_per_correct_usd,p95_latency_ms,requests_per_second,calls_total,calls_ok,calls_error,error_rate,rate_limit_retry_events,evaluated_count,correct_count,resultset_path
mistral-3-14B,0.9726416696894111,0.9772013914078426,0.9761904761904762,0.9761904761904762,1.0,1.0,0.07214820000000001,0.00013612867924528305,0.00016140325203252033,718.934,2.545,530,530,0,0.0,127,126,123,runs/ui-20260611T063857Z-mistral-3-14B-vs-openai-gpt-oss-120b/results/mistral-3-14B.json
router:writing,0.9429811507936507,0.9249503968253968,0.9344262295081968,0.9047619047619048,0.9142857142857143,1.0,,,,2481.931,0.682,530,524,6,0.011320754716981131,0,122,114,runs/shortlist-router-full-v1/results/router:writing.json
router:software-engineering,0.9399336650082919,0.9499447208402433,0.9516129032258065,0.9365079365079365,0.9428571428571428,1.0,,,,8482.11,0.793,530,528,2,0.0037735849056603774,0,124,118,runs/shortlist-router-full-v1/results/router:software-engineering.json
router:general,0.9377379142596534,0.9481149285497111,0.9444444444444444,0.9444444444444444,0.8571428571428571,1.0,,,,9992.38,0.643,530,530,0,0.0,0,126,119,runs/shortlist-router-full-v1/results/router:general.json
openai-gpt-oss-120b,0.9298717381689517,0.9415597818074598,0.9365079365079365,0.9365079365079365,0.8857142857142857,1.0,0.07414,0.00014015122873345935,0.00015798728813559322,2839.676,2.234,530,529,1,0.0018867924528301887,0,126,118,runs/ui-20260611T063857Z-mistral-3-14B-vs-openai-gpt-oss-120b/results/openai-gpt-oss-120b.json
router:knowledge-base-document,0.9245511010728402,0.9371259175607002,0.9365079365079365,0.9365079365079365,0.8571428571428571,1.0,,,,10966.183,0.369,530,528,2,0.0037735849056603774,0,126,118,runs/shortlist-router-full-v1/results/router:knowledge-base-document.json
deepseek-4-flash,0.912956527041034,0.9274637725341951,0.9285714285714286,0.9285714285714286,0.9714285714285714,1.0,0.050817060000000004,9.588124528301887e-05,0.00011792547008547011,15641.917,0.662,530,530,0,0.0,14,126,117,runs/ui-20260611T231508Z-arcee-trinity-large-thinking-vs-deepseek-4-flash/results/deepseek-4-flash.json
openai-gpt-oss-20b,0.8962542720437456,0.9135452267031213,0.9206349206349206,0.9206349206349206,1.0,1.0,0.04992345,9.527375954198473e-05,0.00010270043103448277,2660.394,2.063,530,524,6,0.011320754716981131,,126,116,runs/ui-20260611T061922Z-mistral-3-14B-vs-openai-gpt-oss-20b/results/openai-gpt-oss-20b.json
llama-4-maverick,0.8710802230802231,0.8925668525668526,0.8888888888888888,0.8888888888888888,0.8,1.0,0.09029513,0.0001716637452471483,0.00021934794642857144,779.843,2.147,530,526,4,0.007547169811320755,,126,112,runs/ui-20260611T030124Z-llama-4-maverick-vs-mistral-3-14B/results/llama-4-maverick.json
arcee-trinity-large-thinking,,,,0.0,,,,,,,2.84,530,0,530,1.0,201,0,0,runs/ui-20260611T231508Z-arcee-trinity-large-thinking-vs-deepseek-4-flash/results/arcee-trinity-large-thinking.json
