model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc
all-mini-lm-l6-v2,all-mini-lm-l6-v2,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1727124486,embedding,embeddings,true,false,false,true,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:all-mini-lm,,2026-06-10T21:01:37.812921Z
bge-m3,bge-m3,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1774281224,embedding,embeddings,true,false,false,true,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:bge-,,2026-06-10T21:01:37.812921Z
bge-reranker-v2-m3,bge-reranker-v2-m3,DigitalOcean-hosted,rerank,model,digitalocean,1775636284,rerank,rerank,true,false,false,false,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:rerank,,2026-06-10T21:01:37.812921Z
e5-large-v2,e5-large-v2,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1774281191,embedding,embeddings,true,false,false,true,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:e5-,,2026-06-10T21:01:37.812921Z
gte-large-en-v1.5,gte-large-en-v1.5,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1727124486,embedding,embeddings,true,false,false,true,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:gte-,,2026-06-10T21:01:37.812921Z
multi-qa-mpnet-base-dot-v1,multi-qa-mpnet-base-dot-v1,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1727124486,embedding,embeddings,true,false,false,true,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:multi-qa,,2026-06-10T21:01:37.812921Z
openai-gpt-image-1,openai-gpt-image-1,OpenAI,openai,model,openai,1759330300,image,image,true,false,false,false,true,false,false,,16384,,,,,true,false,excluded,excluded_id_pattern:image,,2026-06-10T21:01:37.812921Z
openai-gpt-image-1.5,openai-gpt-image-1.5,OpenAI,openai,model,openai,1774645563,image,image,true,false,false,false,true,false,false,,16384,,,,,true,false,excluded,excluded_id_pattern:image,,2026-06-10T21:01:37.812921Z
openai-gpt-image-2,openai-gpt-image-2,OpenAI,openai,model,openai,1776952170,image,image,true,false,false,false,true,false,false,,16384,,,,,true,false,excluded,excluded_id_pattern:image,,2026-06-10T21:01:37.812921Z
qwen3-embedding-0.6b,qwen3-embedding-0.6b,DigitalOcean-hosted,qwen,model,digitalocean,1765803500,embedding,embeddings,true,false,false,true,false,false,false,,,,,,,true,false,excluded,excluded_id_pattern:embedding,,2026-06-10T21:01:37.812921Z
qwen3-tts-voicedesign,qwen3-tts-voicedesign,DigitalOcean-hosted,qwen,model,digitalocean,1776717589,audio,audio,true,false,false,false,false,true,false,32768,1,,,,,true,false,excluded,excluded_id_pattern:tts,,2026-06-10T21:01:37.812921Z
stable-diffusion-3.5-large,stable-diffusion-3.5-large,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1776529563,image,image,true,false,false,false,true,false,false,256,1,,,,,true,false,excluded,non_text_modality:image,,2026-06-10T21:01:37.812921Z
wan2-2-t2v-a14b,wan2-2-t2v-a14b,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1776464527,video,video,true,false,false,false,false,false,true,100,1,,,,,true,false,excluded,non_text_modality:video,,2026-06-10T21:01:37.812921Z
