model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc
anthropic-claude-4.1-opus,anthropic-claude-4.1-opus,Anthropic,claude,model,anthropic,1762288203,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-4.5-sonnet,anthropic-claude-4.5-sonnet,Anthropic,claude,model,anthropic,1762371241,text,chat_completions,true,true,false,false,false,false,false,200000,,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-4.6-sonnet,anthropic-claude-4.6-sonnet,Anthropic,claude,model,anthropic,1771366786,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-fable-5,anthropic-claude-fable-5,Anthropic,claude,model,anthropic,1781035402,text,chat_completions,true,true,false,false,false,false,false,1000000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4,anthropic-claude-opus-4,Anthropic,claude,model,anthropic,1753359599,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.5,anthropic-claude-opus-4.5,Anthropic,claude,model,anthropic,1764790378,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.6,anthropic-claude-opus-4.6,Anthropic,claude,model,anthropic,1770333973,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.7,anthropic-claude-opus-4.7,Anthropic,claude,model,anthropic,1776379334,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.8,anthropic-claude-opus-4.8,Anthropic,claude,model,anthropic,1780009573,text,chat_completions,true,true,false,false,false,false,false,1000000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-sonnet-4,anthropic-claude-sonnet-4,Anthropic,claude,model,anthropic,1753359599,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,DigitalOcean-hosted,llama,model,digitalocean,1738947921,text,chat_completions,true,true,false,false,false,false,false,32678,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
deepseek-v4-pro,deepseek-v4-pro,DigitalOcean-hosted,deepseek,model,digitalocean,1777633630,text,chat_completions,true,true,false,false,false,false,false,1048576,1048576,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
gemma-4-31B-it,gemma-4-31B-it,DigitalOcean-hosted,gemma,model,digitalocean,1776195691,text,chat_completions,true,true,false,false,false,false,false,256000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
glm-5,glm-5,DigitalOcean-hosted,glm,model,digitalocean,1773360634,text,chat_completions,true,true,false,false,false,false,false,128000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
kimi-k2.6,kimi-k2.6,DigitalOcean-hosted,kimi,model,digitalocean,1778000987,text,chat_completions,true,true,false,false,false,false,false,262144,262144,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
minimax-m2.5,minimax-m2.5,DigitalOcean-hosted,minimax,model,digitalocean,1773360634,text,chat_completions,true,true,false,false,false,false,false,200000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
nemotron-3-nano-omni,nemotron-3-nano-omni,DigitalOcean-hosted,nemotron,model,digitalocean,1777148824,text,chat_completions,true,true,false,false,false,false,false,65536,65536,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
nemotron-3-ultra-550b,nemotron-3-ultra-550b,DigitalOcean-hosted,nemotron,model,digitalocean,1780548582,text,chat_completions,true,true,false,false,false,false,false,131072,131072,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
nemotron-nano-12b-v2-vl,nemotron-nano-12b-v2-vl,DigitalOcean-hosted,nemotron,model,digitalocean,1777025607,text,chat_completions,true,true,false,false,false,false,false,128000,16384,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-4.1,openai-gpt-4.1,OpenAI,openai,model,openai,1753359599,text,chat_completions,true,true,false,false,false,false,false,1047576,32768,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
